118110001,Luis Alves,
CRA,9.5,
2018.1,PROGRAMACAO 1,9
2018.1,LABORATORIO DE PROGRAMACAO 1,9
2018.1,FUNDAMENTOS DE MATEMATICA PARA CIENCIA DA COMPUTACAO I,9
2018.1,INTRODUCAO A COMPUTACAO,9
2018.1,LEITURA E PRODUCAO DE TEXTO,9
2018.2,LABORATORIO DE PROGRAMACAO 2,9
2018.2,PROGRAMACAO 2,9
2018.2,FUNDAMENTOS DE MATEMATICA PARA CIENCIA DA COMPUTACAO II,9
2018.2,CALCULO DIFERENCIAL E INTEGRAL I,9
2018.2,DIREITO E CIDADANIA,9
2019.1,ESTRUTURA DE DADOS,6
2019.1,LABORATORIO DE ESTRUTURA DE DADOS,9
2019.1,LOGICA PARA COMPUTACAO,9
2019.1,CALCULO DIFERENCIAL E INTEGRAL I,9
2019.1,ALGEBRA LINEAR I,9
2019.1,TEORIA DOS GRAFOS,9
